Brand,Name,Anchal,Type,Condition,Used For,Lot No,Price,Mileage,Engine,Make Year,Kilometers
UnKnown,UnKnown,Bagmati,Sports,Excellent,1.5yrs,82,290000,30,200,2016,8800
yamaha,r15,Bagmati,Sports,Excellent,,49,158000,40,150,2011,42000
UnKnown,UnKnown,Bagmati,Cruiser,Excellent,,24,650000,40,180,2006,
hero,karizma,Bagmati,Sports,Like New (used few times),3years,64,165000,33,225,2015,19000
hero,splendor,Bagmati,Standard,Excellent,,64,95000,55,125,2014,
tvs,apache,Bagmati,Standard,Excellent,,57,112000,,220,,
yamaha,fz,Bagmati,Sports,Like New (used few times),2 years,70,165000,45,150,2016,23000
UnKnown,UnKnown,Bagmati,Standard,Excellent,,25,45000,45,125,2006,
bajaj,avenger,Bagmati,Cruiser,Excellent,,51,125000,35,220,2011,
enfield,classic,Bagmati,Cruiser,Like New (used few times),3 year,78,380000,28,350,,10800
UnKnown,UnKnown,Bagmati,Standard,Like New (used few times),,12456789,123456789,,,,
UnKnown,UnKnown,Bagmati,Cruiser,Excellent,15month,83,165000,43,150,2017,13000
honda,shine,Bagmati,Standard,,,55,97000,,,,
tvs,UnKnown,Bagmati,Standard,,,66,77000,45,,2015,
yamaha,r15,Bagmati,Sports,Excellent,5 yrs,47,120000,,150,,45K
UnKnown,UnKnown,Bagmati,Sports,Good/Fair,4 year,61,135000,28,230,2012,18000
UnKnown,UnKnown,Mechi,Standard,Like New (used few times),3 years ,7,60000,55,125,2006,30000
yamaha,r15,Bagmati,Sports,Excellent,,46,95000,,,,
hartford,vr,Bagmati,Dirt,Excellent,1 year,42,140000,30,150,2012,42
aprilla,UnKnown,Gandaki,Scooty,Like New (used few times),,13,230000,35,150,2017,5500
UnKnown,UnKnown,Bagmati,Sports,Excellent,near 6 year,49,80000,30,153,2011,34000
bajaj,pulsar,Bagmati,Standard,Like New (used few times),2 years,64,190000,19,220,2015,19000
bajaj,pulsar,Bagmati,Sports,Like New (used few times),4years,69,105000,45,150,2015,22k
UnKnown,UnKnown,Bagmati,Scooty,Excellent,2 month ,57,110000,,,,18000
hero,pleasure,Bagmati,Scooty,Excellent,,45,68000,35,105,2010,18k
honda,xr,Bagmati,Dirt,Excellent,,42,550000,35,250,2011,45000
UnKnown,UnKnown,Bagmati,Cruiser,,,85,380000,,400,,
tvs,apache,Bagmati,Sports,Good/Fair,few yrs,52,110000,35,160,2012,35+
ktm,duke,Bagmati,Sports,Excellent,1.5 year,59,259000,30,200,2015,24000
yamaha,UnKnown,Gandaki,Dirt,Excellent,one year,1,400000,35,225,1999,21000
UnKnown,UnKnown,Koshi,Sports,Excellent,18 month,24,200000,45,220,2017,20000
yamaha,fz,Bagmati,Standard,Good/Fair,4 years,59,100000,33,153,2014,52009
bajaj,pulsar,Bagmati,Standard,Excellent,5 month,59,128000,,150,2013,37000
yamaha,fz,Koshi,Sports,Like New (used few times),5 years,28,115000,35,150,2013,25000
UnKnown,UnKnown,Bagmati,Standard,Like New (used few times),3 years,68,165000,35,220,2015,33000
yamaha,fz,Bagmati,Standard,Excellent,2014 model,67,135000,35,150,2014,25000
hero,karizma,Bagmati,Sports,Excellent,3 years,36,50000,35,223,2009,50k
tvs,apache,Bagmati,Sports,Good/Fair,1.5 yrs,80,200000,35,199,2017,17000
bajaj,ns,Bagmati,Sports,Like New (used few times),1 year,83,223000,35,200,2017,11k
UnKnown,UnKnown,Bagmati,Cruiser,Excellent,,45,110000,30,220,2010,4000
bajaj,ns,Janakpur,Standard,,a month,11,260000,38,200,2018,
hero,pleasure,Bagmati,Scooty,Excellent,,36,50000,,100,,
UnKnown,UnKnown,Bagmati,Dirt,Excellent,,62,230000,25,200,2014,
UnKnown,UnKnown,Bagmati,Sports,Excellent,,77,185000,45,162,2016,17000
yamaha,fz,Janakpur,Standard,Like New (used few times),8 month,10,220000,35,150,2017,"16,000"
bajaj,pulsar,Bagmati,Standard,Excellent,,34,80000,35,200,2008,47000
honda,shine,Bagmati,Standard,Good/Fair,,32,64000,40,125,2008,45k
ktm,UnKnown,Bagmati,Standard,Like New (used few times),,88,430000,30,200,2017,15000
bajaj,pulsar,Bagmati,Sports,Excellent,6 month,92,275000,38,220,2017,5900
UnKnown,UnKnown,Bagmati,Sports,Good/Fair,,44,80000,35,180,2010,
bajaj,pulsar,Lumbini,Standard,Excellent,,9,75000,,150,2010,60k
tvs,apache,Bagmati,Standard,Excellent,,76,175000,35,180,2016,
honda,aviator,Bagmati,Scooty,Excellent,3years,58,90000,35,110,2015,35
ktm,UnKnown,Lumbini,Sports,Like New (used few times),2 months ,41,550000,25,390,2017,2700
yamaha,r15,Bagmati,Sports,Good/Fair,,59,140000,30,153,2012,
honda,dio,Bagmati,Scooty,Excellent,3 years,63,105000,,110,2014,26000
UnKnown,UnKnown,Bagmati,Standard,Like New (used few times),2 month ,78,155000,50,125,2018,450
ktm,duke,Bagmati,Standard,Excellent,,76,308000,30,200,2016,
yamaha,r15,Bagmati,Sports,Excellent,4 yrs,61,145000,,150,2013,26000
tvs,apache,Bagmati,Standard,Good/Fair,5 year,34,55000,,160,2009,55+
suzuki,gixxer,Bagmati,Sports,Excellent,3 years ,68,135000,35,155,2015,35k +
bajaj,avenger,Bagmati,Standard,Excellent,,92,280000,,220,,10
tvs,apache,Bagmati,Standard,Good/Fair,4 year,34,55000,,160,2009,35+
hero,pleasure,Koshi,Sports,Excellent,,8,95000,40,150,2011,
yamaha,fascino,Bagmati,Scooty,Good/Fair,2074,75,1117000,45,125,2016,13700
UnKnown,UnKnown,Bagmati,Standard,Excellent,10 month,88,250000,35,200,2017,14000
UnKnown,UnKnown,Bagmati,Cruiser,Good/Fair,,82,199000,40,180,2016,16000
bajaj,pulsar,Narayani,Standard,Excellent,,35,160000,,,2015,25000
honda,dio,Bagmati,Scooty,Excellent,2 years,76,135000,35,110c,2015,12000
yamaha,fz,Bagmati,Sports,Excellent,,64,145000,,153,,22000
bajaj,pulsar,Bagmati,Standard,Like New (used few times),6 Months,91,208000,,150,,5511
honda,hornet,Bagmati,Standard,Excellent,,75,175000,,160,,14000
UnKnown,UnKnown,Bagmati,Sports,Excellent,4 yrs,58,111111,45,125,2014,50k
bajaj,ns,Bagmati,Sports,Excellent,,67,174000,35,200,2014,
bajaj,pulsar,Bagmati,Standard,Like New (used few times),7month,43,120000,28,220,2011,23k+
bajaj,avenger,Bagmati,Cruiser,Like New (used few times),8month,91,250000,,220,,5000
honda,UnKnown,Bagmati,Dirt,Excellent,3 years,7,275000,35,185,1994,
UnKnown,UnKnown,Bagmati,Standard,Like New (used few times),2 month,95,520000,25,500,2018,2800
honda,shine,Bagmati,Standard,Excellent,1 year,47,90000,50,125,2011,29759
yamaha,fz,Bagmati,Sports,,,90,123000,45,150,2018,4000
hero,splendor,Bagmati,Standard,Good/Fair,6 month,10,32000,50,100,2010,15000
bajaj,pulsar,Bagmati,Sports,Excellent,,70,145000,40,150,2015,20200
hero,xtreme,Bagmati,Standard,Excellent,,35,47000,43,150,2009,
honda,dio,Bagmati,Scooty,Like New (used few times),2 yr,70,119000,40,110,2017,12k
bajaj,pulsar,Bagmati,Sports,Excellent,2/3 Years,64,185000,,,,
bajaj,avenger,Bagmati,Cruiser,Excellent,,34,80000,30,200,2009,+20k
UnKnown,UnKnown,Narayani,Cruiser,Like New (used few times),3 months ,55,340000,38,150,2017,3300
honda,dio,Bagmati,Scooty,Excellent,,54,92000,40,110,,17575
bajaj,pulsar,Bagmati,Standard,Excellent,,80,230000,26,200,,18500
bajaj,pulsar,Bagmati,Standard,Excellent,2years,78,180000,32,150,2015,24700
honda,unicorn,Bagmati,Standard,Like New (used few times),2 year,77,215000,35,160,2016,6900
UnKnown,UnKnown,Bagmati,Sports,Excellent,6 month,57,125000,35,220,2013,38000
ktm,duke,Bagmati,Sports,Like New (used few times),3 years,69,280000,30,200,2016,21000
enfield,classic,Bagmati,Standard,Good/Fair,,51,260000,30,350,2012,65k
yamaha,fz,Bagmati,Sports,Excellent,3 years,70,169000,35,150,2015,30000
bajaj,pulsar,Bagmati,Standard,Like New (used few times),7 years, ,90000,45,150,2010,25000
yamaha,fz,Bagmati,Sports,Excellent,,59,135000,,153,,
enfield,UnKnown,Bheri,Standard,Like New (used few times),1 year,8,390000,35,350,2017,13000
yamaha,fz,Gandaki,Standard,Like New (used few times),1 year,4,125000,35,,,25000
UnKnown,UnKnown,Bagmati,Standard,,,4,800000,,,,
bajaj,pulsar,Bagmati,Standard,Excellent,,35,80000,35,150,2006,
bajaj,pulsar,Mechi,Sports,Like New (used few times),2 months,10,300000,35,199,2018,2200km
tvs,apache,Bagmati,Sports,Excellent,,81,208000,35,200,,10000
UnKnown,UnKnown,Mechi,Standard,Excellent,7 years,4,120000,50,125,2011,35000
bajaj,ns,Bagmati,Sports,Like New (used few times),9 months,87,248000,35,200,2017,9500
bajaj,pulsar,Bagmati,Standard,Good/Fair,,94,60000,,,,
yamaha,r15,Bagmati,Sports,Good/Fair,,39,100000,,150,,
UnKnown,UnKnown,Bagmati,Standard,Excellent,3 year,69,150000,45,150,2015,25050
bajaj,discover,Bagmati,Standard,Excellent,7 Years ,44,65000,40,150,2010,"16,000"
enfield,UnKnown,Bagmati,Standard,Like New (used few times),,84,419000,35,350,2017,4500
enfield,UnKnown,Bagmati,Cruiser,Excellent,18 month,77,400000,30,,2016,9000
honda,cbr,Bagmati,Sports,Excellent,,74,430000,,250,,
benelli,UnKnown,Bagmati,Sports,Excellent,1and half year,82,580000,23,300,2017,20000
UnKnown,UnKnown,Bagmati,Standard,Like New (used few times),1month,96,280000,40,200,2018,500
UnKnown,UnKnown,Bagmati,Sports,Excellent,5 years ,56,100000,55,125,2013,18350
honda,dio,Bagmati,Scooty,Excellent,,61,105000,,,2014,
honda,shine,Bagmati,Standard,Like New (used few times),3 years,30,125000,50,125,,31000
tvs,apache,Bagmati,Standard,Excellent,,61,140000,35,160,2013,30000+
bajaj,pulsar,Bagmati,Sports,Excellent,Few time,27,65000,25,150,2008,35000
bajaj,pulsar,Bagmati,Sports,Excellent,Few time,32,75000,30,200,2009,35000
honda,unicorn,Bagmati,Sports,Excellent,Few time,58,110000,45,150,2013,32000
yamaha,r15,Bagmati,Sports,Excellent,,61,165000,,,2014,
honda,aviator,Bagmati,Scooty,Excellent,,63,110000,,,2014,
honda,cbr,Bagmati,Sports,Excellent,3 yrs,54,250000,30,250,2013,30250
hero,pleasure,Bagmati,Scooty,Excellent,,43,52000,,,2010,
hero,pleasure,Bagmati,Standard,Excellent,2year,30,42000,45,100,2009,4678
bajaj,pulsar,Bagmati,Standard,Excellent,,64,155000,40,220,2014,33000
bajaj,pulsar,Bagmati,Sports,Excellent,6yrs,40,110000,40,150,2012,13536
suzuki,gixxer,Bagmati,Standard,Excellent,1.5 year ,81,205000,,155,2017,17000
yamaha,UnKnown,Narayani,Cruiser,,,5,750000,,750,2004,
yamaha,fz,Bagmati,Standard,Excellent,1 year,90,225000,,150,2017,7500
honda,shine,Bagmati,Sports,Excellent,Few time,32,70000,45,102,2009,23000
tvs,pep,Bagmati,Scooty,Excellent,6 years,27,35000,35,100,2006,25000
crossfire,UnKnown,Bagmati,Dirt,Like New (used few times),,86,520000,25,250,2017,7500
honda,UnKnown,Bagmati,Cruiser,Excellent,,2,45000,1000000000,125,1985,100009
UnKnown,UnKnown,Bagmati,Sports,Like New (used few times),6month,87,220000,32,150,2018,3800
honda,cbr,Bagmati,Sports,Excellent,10 years,39,1575000,25,600,2007,20k
honda,dio,Mechi,Scooty,Excellent,1 years,7,130000,40,,,
hartford,vr,Gandaki,Dirt,Good/Fair,,30,60000,,150,,
honda,shine,Bagmati,Standard,Excellent,2 Year,26,65000,50,125,2010,
yamaha,fz,Bagmati,Standard,Like New (used few times),1 year,77,215000,40,150,2016,9500
honda,UnKnown,Bagmati,Dirt,Excellent,,56,835000,27,250,2013,18000
bajaj,pulsar,Bagmati,Sports,,,90,255000,35,200,2018,5300
suzuki,UnKnown,Bagmati,Scooty,Excellent,,61,85000,35,125,2013,21000
honda,dio,Bagmati,Scooty,Good/Fair,,37,50000,,,,
UnKnown,UnKnown,Gandaki,Standard,Excellent,,10,350000,,350,,
UnKnown,UnKnown,Bagmati,Standard,Excellent,1 yrs,83,370000,,400,2017,5500
bajaj,ns,Bagmati,Sports,Like New (used few times),1 month,97,260000,45,155,2018,1200
honda,hornet,Bagmati,Standard,Good/Fair,,77,180000,40,160,2016,19k
vespa,UnKnown,Bagmati,Standard,Like New (used few times),2  years,76,220000,32,150,2016,16000
bajaj,ns,Bagmati,Standard,Excellent,10 months 12 d,88,245000,30,Ns,2017,10000
suzuki,gn,Bagmati,Standard,Good/Fair,,6,225000,25,250,1996,33000
UnKnown,UnKnown,Bagmati,Sports,Good/Fair,,4,225000,28,185,,
honda,UnKnown,Bagmati,Dirt,Like New (used few times),1 year,78,395000,40,150,2017,12000
bajaj,pulsar,Bagmati,Sports,Like New (used few times),8 months,89,260000,35,200,2017,6500
UnKnown,UnKnown,Bagmati,Sports,Like New (used few times),5monyh,89,260000,34,199,2017,19000
enfield,classic,Bagmati,Standard,,,54.57,250000,,500.350,,
UnKnown,UnKnown,Bagmati,Scooty,Excellent,,71,110000,38,110,2016,21000
yamaha,fascino,Bagmati,Scooty,Excellent,,72,115000,,,2015,19000
bajaj,avenger,Bagmati,Cruiser,,,50,110000,,220,,42000
yamaha,fz,Bagmati,Sports,Excellent,3 yrs,47,100000,35,150,,
bajaj,pulsar,Bagmati,Standard,Like New (used few times),,63,128000,40,150,2014,30000
hero,xtreme,Bagmati,Standard,Excellent,6yrs,47,76000,35,150,2011,35000
crossfire,UnKnown,Bagmati,Dirt,Like New (used few times),1 year,90,520000,,250,,
bajaj,pulsar,Bagmati,Standard,Excellent,,87,245000,35,200,2017,12000+
suzuki,gixxer,Bagmati,Sports,Like New (used few times),2 months,93,235000,40,155,2075,1500
hartford,vr,Bagmati,Dirt,Good/Fair,,43,150000,29,150,,26000
enfield,UnKnown,Bagmati,Standard,Excellent,4 Years,19,299000,,350,2005,21200
bajaj,ns,Bagmati,Sports,Like New (used few times),,85,250000,30,199.5,2017,17000
UnKnown,UnKnown,Bagmati,Standard,Excellent,1 years,84,180000,30,350,2017,14
hero,xtreme,Bagmati,Standard,Excellent,4 year,59,130000,35,150,2013,39500
benelli,tnt,Bagmati,Sports,Like New (used few times),2 months,93,199999,45,135,2018,1500
honda,hornet,Bagmati,Standard,Like New (used few times),12 month ,84,220000,35,160,2017,6500+
UnKnown,UnKnown,Bagmati,Standard,Excellent,3year,56,120000,45,150,2014,4568
yamaha,r15,Bagmati,Sports,Excellent,,71,195000,40,150,2016,
UnKnown,UnKnown,Bagmati,Standard,Excellent,2year,57,120000,45,150,2014,3557
honda,hornet,Bagmati,Sports,Like New (used few times),,79,220000,40,160,,3500
UnKnown,UnKnown,Bagmati,Scooty,Like New (used few times),,54,70000,35,102,2012,19000
tvs,apache,Bagmati,Standard,,,78,199999,30,200,2016,25k
suzuki,gixxer,Bagmati,Sports,Like New (used few times),11 months,84,245000,40,154,2017,5000
bajaj,pulsar,Bagmati,Sports,Excellent,,56,134000,35,220,2014,21000
yamaha,UnKnown,Bagmati,Standard,Excellent,,42,95000,,,,
UnKnown,UnKnown,Bagmati,Sports,Excellent,,70,127000,43,150,2015,24000
honda,UnKnown,Bagmati,Standard,Good/Fair,year,25,30000,35,149.,2007,
UnKnown,UnKnown,Bagmati,Scooty,Excellent,2Years (approx,82,120000,,125,2015,7000
ktm,UnKnown,Bagmati,Sports,Like New (used few times),,69,330000,25,200,2015,
enfield,classic,Gandaki,Standard,Excellent,1.5 years,8,310000,,350,,
tvs,apache,Bagmati,Sports,Excellent,6 yeara,48,80000,40,160,2011,35000
UnKnown,UnKnown,Bagmati,Cruiser,Good/Fair,,18,50000,,125,,
yamaha,fascino,Bagmati,Scooty,Like New (used few times),6 months,88,150000,45,113,2017,10128
honda,dio,Bagmati,Standard,Excellent,1.5years,81,140000,35,109,2017,15000
UnKnown,UnKnown,Bagmati,Standard,Excellent,3 years ,74,165000,40,150,,23000
bajaj,pulsar,Bagmati,Sports,Excellent,,38,85000,35,150,2010,37k
honda,dio,Bagmati,Scooty,Like New (used few times),2 mnths,93,180000,40,109,2018,2200
tvs,apache,Bagmati,Standard,Like New (used few times),2.5 years,71,175000,42,160,2015,27700
crossfire,UnKnown,Bagmati,Dirt,Excellent,6months,90,550000,25,250,2017,3000
enfield,UnKnown,Bagmati,Standard,Like New (used few times),3 year,43,285000,30,350,,28000
bajaj,UnKnown,Bagmati,Cruiser,Excellent,1 year,84,400000,30,400,2017,11000
enfield,classic,Lumbini,Standard,Like New (used few times),6 months,39,450000,35,350,2018,12000
mahindra,rodeo,Bagmati,Scooty,Excellent,,48,50000,,125,,
crossfire,UnKnown,Bagmati,Sports,Like New (used few times),3 months,92,460000,28,250,2018,1900
hartford,vr,Gandaki,Dirt,Excellent,,8,260000,,200,2012,
um,renegade,Bagmati,Cruiser,Excellent,2 years,75,180000,40,180,2016,20000
bajaj,pulsar,Gandaki,Sports,Excellent,,11,150000,,200,2015,17500
enfield,UnKnown,Bagmati,Standard,Excellent,1 yr,85,400000,30,350,2017,12000
bajaj,pulsar,Bagmati,Standard,,,64,165000,40,150,,23000
bajaj,ns,Bagmati,Sports,,11 month,88,250000,,200,2017,9700
bajaj,pulsar,Bagmati,Standard,Excellent,5 Years,56,145000,32,220,2013,30000
UnKnown,UnKnown,Bagmati,Standard,Excellent,1Yrs,19,45000,50,100,,39000
honda,hornet,Bagmati,Standard,,,82,190000,52,160,2016,10000+
bajaj,avenger,Bagmati,Cruiser,Excellent,2069,53,120000,35,220,2075,26000
tvs,UnKnown,Bagmati,Standard,,,94,165000,,,,
bajaj,pulsar,Bagmati,Standard,Good/Fair,3 years,64,180000,30,200,,20000
UnKnown,UnKnown,Bagmati,Standard,Excellent,5 yrs,51,60000,25,125,2012,14000
tvs,apache,Bagmati,Sports,Excellent,2017,89,225000,35,200,2017,9500
bajaj,ns,Bagmati,Cruiser,Excellent,,52,130000,,200,,
tvs,apache,Bagmati,Sports,Like New (used few times),1 year ,79,225000,35,200,2017,12400
benelli,tnt,Bagmati,Dirt,,2 MONTHS,93,200000,30,135,2018,4679
enfield,UnKnown,Bagmati,Cruiser,Like New (used few times),1 year,83,420000,30,350,2017,2887
bajaj,ns,Koshi,Sports,Excellent,,33,145000,40,200,2013,28000
honda,dio,Bagmati,Sports,Excellent,,47,70000,,,,
UnKnown,UnKnown,Bagmati,Standard,Excellent,,70,160000,,150,,18000
yamaha,fz,Bagmati,Standard,Excellent,5 years,58,110000,35,150,2070,40000
honda,UnKnown,Bagmati,Sports,Excellent,,28,60000,,150,2008,
hero,UnKnown,Bagmati,Standard,Excellent,1.5year,82,133000,50,125,2017,12500
UnKnown,UnKnown,Bagmati,Standard,Excellent,4months only,96,115000,45,125,2015,3500
ktm,duke,Bagmati,Sports,Excellent,2 year,73,315000,30000,200,2016,"20,000+"
enfield,classic,Bagmati,Cruiser,Like New (used few times),1 Year 5 Month,81,400000,35,350,2016,15000
yamaha,fz,Bagmati,Standard,Excellent,2Year,63,170000,35,153,2,25000
suzuki,gixxer,Bagmati,Standard,Good/Fair,3 yr,71,149000,40,155,2015,21000
suzuki,gn,Bagmati,Cruiser,Good/Fair,10 Yrs,4,35000,,125,2000,1 k
bajaj,avenger,Bagmati,Cruiser,Excellent,1year,30,72700,37,200,2008,37000
honda,shine,Bagmati,Standard,Good/Fair,1.5years use,47,86000,50,125,2011,3300
enfield,classic,Bagmati,Standard,Excellent,17 month,82,400000,30,350,2016,13500
UnKnown,UnKnown,Bagmati,Sports,Excellent,2017,91,310000,,250,,9000
yamaha,fz,Bagmati,Sports,Excellent,,91,310000,,250,2018,
bajaj,pulsar,Bagmati,Standard,Good/Fair,,38,80000,40,150,,69570
honda,cbr,Bagmati,Sports,Excellent,2.5 yrs,70,329000,30,250,2015,24000
honda,dio,Bagmati,Scooty,,,43,68000,40,102,2012,27000
bajaj,ns,Bagmati,Sports,Excellent,2.5year,70,180000,30,199,2015,27000
hero,pleasure,Gandaki,Scooty,Excellent,3 Years,57,80000,,,,27000
bajaj,ns,Bagmati,Standard,Excellent, 4 year,56,160000,32,220,2013,30000
tvs,apache,Bagmati,Sports,,,46,78000,,,,
bajaj,UnKnown,Lumbini,Standard,Excellent,2 Years,28,160000,,150,2016,28000
bajaj,pulsar,Bagmati,Sports,,,49,117000,,,,
hero,splendor,Bagmati,Standard,Excellent,14 years,17,45000,,100,2003,
ktm,duke,Bagmati,Sports,Excellent,3Years,57,230000,30,199.9,2012,31k
bajaj,pulsar,Bagmati,Standard,Like New (used few times),1.8month ,74,175000,45,150,2016,20000
honda,cbr,Bagmati,Sports,Good/Fair,4Year,52,239000,30,250,2012,32000
hartford,vr,Bagmati,Dirt,Good/Fair,1yrs,31,95000,35,150,,
UnKnown,UnKnown,Bagmati,Dirt,Excellent,2 months,83,450000,25,250,,6500
ktm,duke,Bagmati,Sports,Excellent,,60,285000,35,375,2013,
bajaj,pulsar,Bagmati,Sports,Like New (used few times),3 years ,73,200000,38,220,2016,28000
yamaha,r15,Bagmati,Sports,Excellent,,73,189000,,150,2016,
UnKnown,UnKnown,Bagmati,Cruiser,Like New (used few times),,91,450000,35,350,2017,
yamaha,r15,Bagmati,Sports,Excellent,,46,105000,,,2011,
UnKnown,UnKnown,Bagmati,Standard,Good/Fair,2 Year,65,350000,32,500,2014,22500
honda,xr,Bagmati,Dirt,Excellent,,98,240000,40,125,2013,10000
bajaj,pulsar,Bagmati,Standard,Excellent,,70,122000,,150,,
bajaj,ns,Bagmati,Sports,Excellent,6months,85,160000,,200,,
honda,shine,Bagmati,Standard,,5 years,43,80000,,,,
yamaha,UnKnown,Narayani,Sports,Excellent,2 year ,37,135000,55,150,2015,21000
honda,cbr,Bagmati,Sports,Excellent,4yrs,55,250000,35,250,2012,27000
bajaj,pulsar,Bagmati,Standard,Excellent,2yrs,76,189000,40,200,2016,
yamaha,r15,Bagmati,Sports,Excellent,,49,122000,42,150,2012,
hero,pleasure,Bagmati,Scooty,Like New (used few times),,37,60000,35,,2012,20000
yamaha,r15,Narayani,Sports,Excellent,2 years,37,212000,,150,2016,
honda,unicorn,Bagmati,Standard,Like New (used few times),22 months,79,200000,50,160,2016,10200
bajaj,pulsar,Bagmati,Standard,Excellent,,60,150000,35,220,,34000
enfield,UnKnown,Gandaki,Cruiser,Like New (used few times), months,14,465000,30,350,2018,5000
honda,shine,Bagmati,Standard,Excellent,,28,80000,40,,,"50,000"
enfield,classic,Bagmati,Standard,Excellent,8 month,60,285000,,350,2014,21000
ktm,duke,Bagmati,Sports,Excellent,2Year,70,295000,34,200,2015,17564
bajaj,pulsar,Bagmati,Standard,Like New (used few times),5 months,88,220000,45,150,2017,6500
tvs,apache,Bagmati,Sports,Excellent,1 year,80,215000,33,200,2017,16000
UnKnown,UnKnown,Mechi,Scooty,Excellent,1year\,9,130000,,,2017,7000
enfield,classic,Bagmati,Standard,Like New (used few times),4 year,56,310000,30,350,2013,25000+
bajaj,discover,Narayani,Standard,Like New (used few times),2 YEAR,38,500000,,,,22000
tvs,pep,Bagmati,Scooty,Excellent,,46,45000,,,,
honda,hornet,Bagmati,Standard,Like New (used few times),,81,188000,40,160,2017,10000
yamaha,r15,Bagmati,Sports,Like New (used few times),,79,215000,40,150,2016,9000
tvs,apache,Bagmati,Standard,Excellent,1 year,37,60000,35,160,2010,
bajaj,pulsar,Bagmati,Standard,Excellent,4years,27,80000,,200,,
yamaha,r15,Bagmati,Sports,Excellent,,78,230000,40,149,2016,16000
yamaha,r15,Bagmati,Sports,Like New (used few times),13 months,83,250000,40,149,2017,12000
yamaha,fz,Lumbini,Sports,Like New (used few times),5 month,39,200000,50,150,2018,7000
bajaj,pulsar,Gandaki,Standard,Excellent,,9,165000,30,200,2013,30
UnKnown,UnKnown,Bagmati,Sports,Like New (used few times),12 month,86,235000,35,197.5,2017,26000
yamaha,r15,Bagmati,Sports,Excellent,,71,240000,,150,2016,
yamaha,fz,Bagmati,Standard,Excellent,3yrs,67,157000,45,150,2014,15000
enfield,UnKnown,Rapti,Standard,Excellent,5years,2,225000,,350,2013,42000
enfield,classic,Bagmati,Standard,Excellent,2 years,70,320000,20,350,,17000
ktm,duke,Bagmati,Sports,Excellent,1 year,86,500000,20,250,,6000+
suzuki,UnKnown,Bagmati,Sports,Like New (used few times),1year,75,185000,45,155,2016,8500
UnKnown,UnKnown,Bagmati,Standard,Excellent,4 years,59,165000,30,150,,25000
bajaj,ns,Bagmati,Standard,Like New (used few times),2 month,94,273000,40,200,2018,3500
UnKnown,UnKnown,Lumbini,Scooty,Excellent,2 year ,33,220000,40,125,2016,9500
yamaha,UnKnown,Bagmati,Standard,Excellent,5 years,53,150000,,125,2012,
bajaj,ns,Bagmati,Sports,Like New (used few times),10 months,89,265000,35,200,2017,9500
bajaj,discover,Bagmati,Standard,Like New (used few times),13 Yr,23,41900,,,,
aprilla,UnKnown,Gandaki,Scooty,Excellent,1 yr,13,225000,40,155,2017,800p
UnKnown,UnKnown,Bagmati,Standard,Like New (used few times),,55,98000,45,110,2013,30000
bajaj,ns,Bagmati,Standard,Like New (used few times),,92,264000,42,200,2017,4500
yamaha,fascino,Koshi,Scooty,Like New (used few times),1/haf month,26,120000,55,125,2016,9000
ktm,UnKnown,Bagmati,Sports,Like New (used few times),1 year 3 month,86,600000,25,390,2016,12000
UnKnown,UnKnown,Bagmati,Dirt,Like New (used few times),6 month,90,220000,45,150,2018,7200
yamaha,fz,Bagmati,Sports,Good/Fair,,32,75000,35,153,,60000+
ktm,duke,Bagmati,Sports,Like New (used few times),,84,395000,,200,2017,
hero,xtreme,Bagmati,Standard,Good/Fair,,36,70000,45,153,,
bajaj,pulsar,Bagmati,Standard,Excellent,,24,58500,45,180,,40k+
tvs,apache,Bagmati,Standard,Excellent,,51,88000,35,180,2012,na
ktm,duke,Bagmati,Sports,Excellent,,85,558000,28,390,2017,6700
bajaj,ns,Bagmati,Sports,Like New (used few times),6 months.,90,258000,40,200,2017,6300
suzuki,gixxer,Bagmati,Sports,Excellent,Year,82,19500,40,155,2016,16000
enfield,UnKnown,Koshi,Standard,Like New (used few times),11 months,31,420000,30,350,2017,6000
honda,xr,Bagmati,Dirt,Excellent,< 2 years,72,365000,38,150,2016,8700
honda,xr,Bagmati,Dirt,Excellent,1.5 yrs,75,1200,40,150,,
UnKnown,UnKnown,Bagmati,Dirt,Like New (used few times),9 months,91,580000,25,250,2017,5000
UnKnown,UnKnown,Bagmati,Cruiser,Excellent,1.5 year,83,370000,25,400,2016,12000
bajaj,pulsar,Bagmati,Sports,Excellent,5 yrs,53,145000,33,200,2012,27000
honda,unicorn,Bagmati,Standard,Like New (used few times),4 year's,40,77000,40,150,2012,37000
hero,UnKnown,Bagmati,Cruiser,Excellent,,3,35000,,100,,
bajaj,pulsar,Bagmati,Cruiser,Excellent,,47,105000,,180,,
bajaj,pulsar,Bagmati,Cruiser,Excellent,,45,100000,,180,,
bajaj,pulsar,Bagmati,Cruiser,Excellent,,38,85000,,150,,
yamaha,fz,Bagmati,Cruiser,Excellent,,47,90000,,150,,
bajaj,pulsar,Bagmati,Cruiser,Excellent,,46,105000,,150,,
honda,shine,Bagmati,Cruiser,Excellent,,35,70000,,125,,
bajaj,pulsar,Bagmati,Standard,Like New (used few times),,75,175000,,150,,
yamaha,fz,Bagmati,Cruiser,Excellent,,31,75000,,150,,
bajaj,avenger,Bagmati,Cruiser,Excellent,,38,90000,,,,
bajaj,pulsar,Bagmati,Cruiser,Excellent,,59,130000,,220,,
yamaha,fz,Bagmati,Cruiser,Excellent,,46,85000,,150,,
